0.46,0.90,0.18,-2.08,-7.69,-11.66,382,279,204,446,363
0.42,0.89,0.19,-5.68,-10.68,-8.79,380,276,206,439,360
0.37,0.88,0.28,2.93,-1.40,-6.41,382,275,200,447,358
0.38,0.94,0.27,-2.50,-1.77,-2.14,384,280,198,444,362
0.39,0.88,0.30,-0.06,-1.16,-3.36,381,277,201,442,360
0.37,0.95,0.29,2.44,1.46,1.34,378,277,205,443,359
0.35,0.88,0.31,-5.74,-7.02,-2.08,378,280,206,443,361
0.41,0.82,0.27,-12.51,5.49,-4.64,378,277,202,438,358
0.37,0.86,0.33,-0.79,8.61,6.23,367,278,205,440,355
0.42,0.92,0.29,-8.18,-10.86,7.02,367,277,201,437,354
0.42,0.80,0.33,0.49,-0.61,-1.40,379,277,205,445,358
0.42,0.82,0.32,0.67,8.42,-13.67,367,277,205,439,355
0.45,0.85,0.35,4.64,-4.58,-3.78,370,276,201,438,358
0.42,0.84,0.33,-2.08,-2.56,-0.73,370,278,209,447,359
0.43,0.84,0.34,0.00,-1.10,1.71,369,280,200,457,357
0.44,0.83,0.34,2.44,-3.05,-1.46,370,278,202,445,359
0.44,0.84,0.33,-1.28,-3.11,-0.31,368,281,202,442,357
0.43,0.82,0.35,-0.55,-3.97,-1.95,370,280,203,444,358
0.44,0.83,0.33,2.56,-2.81,-3.23,371,281,199,447,358
0.46,0.84,0.30,5.98,-7.75,-1.22,368,277,202,438,357
0.46,0.83,0.32,2.56,-2.62,-3.30,369,275,202,443,358
0.48,0.85,0.30,-0.12,-1.53,-6.90,370,279,203,444,360
0.47,0.83,0.28,-0.79,-2.62,0.37,371,288,202,439,356
0.50,0.83,0.29,-1.22,-3.17,-1.65,368,281,203,443,360
0.50,0.82,0.29,3.23,-3.42,-2.08,370,278,203,445,353
0.49,0.82,0.29,0.18,-1.34,-0.73,366,278,202,444,357
0.49,0.82,0.31,-0.31,0.12,-4.39,365,278,205,442,356
0.49,0.82,0.30,2.50,-2.81,-5.25,370,280,205,444,357
0.48,0.82,0.30,0.67,-0.73,-3.17,365,285,202,442,358
0.49,0.85,0.31,-2.44,-0.31,-3.36,365,278,204,445,361
0.46,0.86,0.31,2.87,-4.88,-7.57,368,277,205,450,358
0.44,0.85,0.31,-3.23,-0.06,-9.28,367,275,202,437,358
